wallet,wallet_age_days,tx_count,tx_frequency,avg_tx_value,active_days,tx_per_day_mean,tx_per_day_std,consistency_ratio,max_tx_per_hour,max_tx_per_minute,unique_counterparties,stablecoin_tx_count,total_token_tx_count,stablecoin_tx_ratio
0x00666df5c524e8f7579f65b56baa129a3385178a,69,7,0.10144927536231885,56303575241431.14,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,7,0,0,0.0
0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,24,10000,416.6666666666667,2336142069277.1294,6,1666.6666666666667,4072.1965898844655,2.4433179539306793,9836,370,9202,3,7819,0.0003836807775930426
0x44894aeee56c2dd589c1d5c8cb04b87576967f97,165,10000,60.60606060606061,3.1969202210000003e+19,161,62.11180124223603,73.45074827638075,1.18255704724973,333,23,85,0,2334,0.0
0xde4ee8057785a7e8e800db58f9784845a5c2cbd6,102,10000,98.03921568627452,2.197520699692196e+17,103,97.0873786407767,132.8913094722796,1.3687804875644798,181,22,1978,2,10000,0.0002
0x5e0d664100675e9de72269cdacef324bd675061d,23,23,1.0,3015743478260869.5,9,2.5555555555555554,2.6034165586355513,1.01872821859652,4,2,24,0,0,0.0
0x08dcb9b5989fb09ef80e85567ec1f49577a70d29,221,10000,45.248868778280546,0.0,175,57.142857142857146,62.78962450765897,1.098818428884032,229,31,2258,0,19,0.0
0xa34b0c56c00dddf4e592dcf296ed281873a0fd31,69,8,0.11594202898550725,37657812419375.0,3,2.6666666666666665,2.886751345948129,1.0825317547305484,6,2,8,0,0,0.0
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,80,10000,125.0,7.774854527710308e+19,80,125.0,50.13551256597627,0.4010841005278102,75,33,761,0,10000,0.0
0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,630,10000,15.873015873015873,50478599325760.48,387,25.839793281653748,153.02234984566394,5.921964939027195,950,380,5247,7,6226,0.0011243173787343398
0x0132b30c557bf8e5870e14e902d36f3c570d5200,377,7,0.01856763925729443,3233608385306285.5,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,8,0,0,0.0
0x6fadde2268137d76f5727896e3a633ecd5230126,1,2,2.0,639538488500.0,1,2.0,0.0,0.0,2,1,3,0,0,0.0
0x06bed177b520e0f6a6138c6e49755c28d09d5b02,1,3,3.0,4.284312054608433e+16,1,3.0,0.0,0.0,3,1,3,0,0,0.0
0x2a79324c19ef2b89ea98b23bc669b7e7c9f8a517,861,10000,11.614401858304298,373544466666.6666,821,12.180267965895249,9.293147248471062,0.7629673890994743,39,13,3196,0,716,0.0
0xbb6e6cf283f686c9fa0f56e269eb846df839686a,69,8,0.11594202898550725,43339147137000.0,3,2.6666666666666665,2.886751345948129,1.0825317547305484,6,2,8,0,0,0.0
0x6fd39abf17209207e29d9be7d6d70ee7480f10c1,263,6,0.022813688212927757,5525277469571957.0,5,1.2,0.4472135954999579,0.37267799624996495,1,1,6,0,0,0.0
0xc869c50fbe8c27cb378f2ed3403961a891fcd260,1,4,4.0,1.600112674474623e+19,2,2.0,1.4142135623730951,0.7071067811865476,3,1,4,0,0,0.0
0x6f09bedad6e2aa5ca2c1671f45c63cffdcdf473f,1,2,2.0,3.2001152e+19,1,2.0,0.0,0.0,2,1,3,0,0,0.0
0x6c05468418862409538c72323d24fcdffd477fe3,936,19,0.0202991452991453,2.983490746659872e+16,12,1.5833333333333333,0.90033663737852,0.5686336657127495,3,3,17,0,8,0.0
0x5eacf3739b04faa3301fb605216b7b906dc8483b,377,7,0.01856763925729443,3105516461844000.0,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,8,0,0,0.0
0x6a943490264e8b548e30f8a9efc742edf9ea13a7,1,2,2.0,2196330000000000.0,1,2.0,0.0,0.0,2,1,3,0,0,0.0
0x291754ea1ff18df1a0c96a9a0977176aabd31d6c,17,186,10.941176470588236,5.164110633725223e+16,13,14.307692307692308,10.562390949217066,0.7382316254829132,15,3,33,8,43,0.18604651162790697
0x9185b01f4fc952ed9daa06a6c7b0a3ed629915d6,69,7,0.10144927536231885,52920756822000.0,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,8,0,0,0.0
