wallet,stablecoin_tx_ratio,stablecoin_tx_count
0x742d35Cc6634C0532925a3b844Bc9e7595f0bEb7,0.5,1
0xf977814e90da44bfa03b6295a0616a897441acec,0.0447,447
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0.0303,303
0x66f820a414680b5bcda5eeca5dea238543f42054,0.0085034013605442,10
0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,0.004,40
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,0.0,0
0x28c6c06298d514db089934071355e5743bf21d60,0.0,0
0x564286362092d8e7936f0549571a803b203aaced,0.0,0
0x3f5ce5fbfe3e9af3971dD833D26BA9b5C936f0bE,0.0,0
0xdc76cd25977e0a5ae17155770273ad58648900d3,0.0,0
